_id,user_name,user_be_agreed,user_be_thanked,user_followees,user_followers,user_education_school,user_education_subject,user_employment,user_employment_extra,user_location,user_gender,user_info,user_intro
ObjectId(57cc15ba5b5ef00bd215bb82),OurDearAmy,23534,9979,166,309981,广东外语外贸大学,英语,,,广州,female,,"

温柔相待。爱健身，爱生活。与岁月做朋友，做自己的女神。

"
ObjectId(57cc15bc5b5ef00bd215bb83),Michael282694,8768,1837,490,40652,西北工业大学,,,slash,,female,,"

- 越是憧憬，越要风雨兼程。"
ObjectId(57cc15bd5b5ef00bd215bb84),美团点评技术团队,3985,82,8,7700,,,,,,male,,"

从最初只有几位工程师的技术组，到如今几千优秀工程师，美团·大众点评技术团队支撑并驱动着中国最大生活服务O2O业务的高速增长。人是美团·大众点评最重要的产品，打造最优秀的互联网研发团队是我们的愿景。

"
ObjectId(57cc15c05b5ef00bd215bb85),王兴,1297,292,26,59549,,,,,,male,,
ObjectId(57cc15c25b5ef00bd215bb86),常斌,168,58,55,9453,,,,,,male,,
ObjectId(57cc15c45b5ef00bd215bb87),肥鱼,59,22,142,195,,,,,,male,,
ObjectId(57cc15c75b5ef00bd215bb88),陈思荣,17526,5775,181,45186,卡内基梅隆大学 (Carnegie Mellon University),,Snapchat,SDE,洛杉矶,male,,
ObjectId(57cc15c95b5ef00bd215bb89),王振宁,49281,12120,200,7043,教育硕士,学科教学,从体校到市重点都教过,班主任,魔都,male,,"

教语文

"
ObjectId(57cc15cb5b5ef00bd215bb8a),老兵尹吉先,147426,26573,57,74623,初中,战争,中国人民解放军,0字第538452号军官,北京,male,,"

1940-1946年在山东莱州西由乡东尹家村小学学习三年。1947年2月加入中国人民解放军，先后参加山东胶东口袋战役、潍坊战役，1948年10月随27军81师参加淮海战役、渡江战役、上海战役，1950.11.3从丹东入朝，27军撤回国内时又留在朝鲜编入24军任炮兵观察员直至1956年回国。1959.5月转业到北京邮政中心局押运火车。1990年退休。"
ObjectId(57cc15ce5b5ef00bd215bb8b),MJ勺子,14841,5522,237,146273,BJTU,,有仓,创始人,北京,male,,"

必见辽阔之地

"
ObjectId(57cc15d05b5ef00bd215bb8c),叶公子,0,0,39,3,,,,,,male,,
ObjectId(57cc15d25b5ef00bd215bb8d),初洋,33407,4671,510,196629,,,丁香园,,杭州,male,,"

不再是个医生

"
ObjectId(57cc15d55b5ef00bd215bb8e),Gold RIch Money,95749,22841,5412,32315,雅安中学,美食,丽江四月客栈,赤脚医生,雅安人,male,,"

神经外科医生，目前主攻癫痫。经过几个月的辛苦筹备我在丽江的客栈开张了，四月花语客栈，恳请各位照顾生意！医生，客栈老板。疾病咨询可以加我微信发红包。

"
ObjectId(57cc15d75b5ef00bd215bb8f),沈友,2217,488,1111,349,,,,,,male,,"

近来暮气沉沉……

"
ObjectId(57cc15da5b5ef00bd215bb90),我是小骏马呀,8528,2617,640,1785,,,,,南京,female,,
ObjectId(57cc15db5b5ef00bd215bb91),李木子啊,0,0,2,1,,,,,,male,,
ObjectId(57cc15de5b5ef00bd215bb92),曹钰,14832,989,119,3318,青龙山精神病院,mo,视频制作,终日以拿弹弓打人丁丁为业,重庆,male,,"

都别关注我。"
ObjectId(57cc15e05b5ef00bd215bb93),虎甲,13867,3934,150,4370,达尔文禽兽精神病院,兽类精神科蒙古大夫,The 1st Military Working Dog Regiment,砖家,北京,male,,"

禽兽の眼·观世间_____        "
ObjectId(57cc15e35b5ef00bd215bb94),安非他命如是我闻,52261,10364,25,25586,,,,,,female,,"

微信：hyh22170101

"
ObjectId(57cc15e55b5ef00bd215bb95),Sedio Lee,8388,3017,495,6566,中国医科大学,临床医学,医院,,,male,,"

未老先衰+老年痴呆

"
ObjectId(57cc15e75b5ef00bd215bb96),高乐倩,719,216,14,517,南京师范大学,俄英双语,,,南京,female,,"

语言/ 新闻/ 彩妆/ 正在默默啃经济学的老少女

"
ObjectId(57cc15e95b5ef00bd215bb97),石悦,8700,2473,181,11972,以色列technion理工大学,生化工程,,,以色列,female,,"

在以色列努力奋斗的生化工程大学生一枚，兴趣杂。大部分被邀请的问题以我的学识自觉无法回答，就不回答了...有刷屏嗜好！脾气暴躁，和我吵架的人要是连基础观念都不合那必拉黑之。重度NC，不喜勿惹，否则必喷之。自己的正经答案没人赞同好伤感。我是妹纸！

"
ObjectId(57cc15ec5b5ef00bd215bb98),Lily Kim,23766,5443,18,22180,,,,,韩国,female,,"

“ 多学一种语言，不仅是多打开一扇窗子，多一种获取知识的桥梁，而且是多一个世界，多一个头脑，多一重生命。”

"
ObjectId(57cc15ee5b5ef00bd215bb99),Doream Leo,333,61,62,51,,,,,山东山东,male,,
ObjectId(57cc15f05b5ef00bd215bb9a),鞠一笑,22362,6239,546,4668,,水生生物学~,,,武汉,male,,"

水生生物学，求知与取乐

"
ObjectId(57cc15f25b5ef00bd215bb9b),马凯,0,0,94,1,山东农业大学,动物科学,新希望六和,客户经理,泰安,male,,"

憋气爱好者

"
ObjectId(57cc15f55b5ef00bd215bb9c),陈风暴烈酒,83166,14721,248,6860,,,,,,male,,"

南小鸟和南酱都是我的最爱！（头像为南小鸟（内田彩））。     左派/反计生/反文革/药丸党/支持性别平等但反对女权癌/支持汉族争取合法利益/反黑鬼/反邪教（你懂的）/反两少一宽/区划爱好者/日漫、美国电影、游戏爱好者。

"
ObjectId(57cc15f75b5ef00bd215bb9d),悦粥,1903,305,65,2153,,,,,,female,,
ObjectId(57cc15f95b5ef00bd215bb9e),黄继新,71024,18816,9459,775539,北京第二外国语学院,国际贸易,知乎,联合创始人,北京,male,,
ObjectId(57cc15fb5b5ef00bd215bb9f),向京,509,179,2,1077,,,,,北京,female,,"

向京工作室网站："
ObjectId(57cc15fc5b5ef00bd215bba0),Lens,16679,353,12,8876,,,,,,male,,"

 Lens是一个致力于发现创造与美、探求生活价值、传递人性温暖的文化传播平台。"
ObjectId(57cc15fe5b5ef00bd215bba1),醒醒,12848,0,3,1277,,,Lens,猫主编,北京,male,,
ObjectId(57cc16015b5ef00bd215bba2),张亮,178811,38529,2202,688162,中央财经大学,经济学,知乎,联合创始人,北京,male,,
ObjectId(57cc16045b5ef00bd215bba3),北田共,3296,844,34,1354,明治大学,日本历史,,,东京,male,,"

听说距离失业也不远了

"
ObjectId(57cc16065b5ef00bd215bba4),赢球命硬拜囧神,400,97,28,56,,材料科学与工程,,,,male,,"

请问你今天要续一秒吗

"
ObjectId(57cc16085b5ef00bd215bba5),陶蓬葳,92,11,100,74,,,,,天津,male,,"

社会学入门，一个懒得跑路的药丸党

"
ObjectId(57cc160a5b5ef00bd215bba6),Ron Tracy,0,0,15,1,南开大学,金融,,,,male,,
ObjectId(57cc160d5b5ef00bd215bba7),Haojun,104030,20592,279,38893,耶鲁大学 (Yale University),CS,德晕社,逗哏,纽黑文,male,,"

不当码农了，转行说相声了！"
ObjectId(57cc160f5b5ef00bd215bba8),纳罕,534,134,80,39,卡内基梅隆大学 (Carnegie Mellon University),,,,美国,male,,"

你好，我是纳罕。

"
ObjectId(57cc16115b5ef00bd215bba9),庄野马,30505,4831,95,14942,Purdue University,机械工程,,,Indiana,female,,"

我就是这样一个没有素质的东北妇女。嗯。不爽你来打我啊？然而你打不到我。略略略略略略略～～～～～(〜￣▽￣)〜

"
ObjectId(57cc16145b5ef00bd215bbaa),ytytytyt,166197,30069,196,13259,云中城天马学院 .,天气控制,彩虹工厂,操作员,Ponyville .,male,,"

Brony:动画my little pony粉丝,苦逼UP一枚. 　　　For the honor , for the glory!　　 　　　　　 // 本人已委托维权骑士（"
ObjectId(57cc16155b5ef00bd215bbab),20coolerBrony,0,0,0,4,,,,,,female,,
ObjectId(57cc16185b5ef00bd215bbac),顾宇炜,4,3,30,10,东南大学,日语,,,江苏,male,,
ObjectId(57cc161b5b5ef00bd215bbad),邓文博,84653,11918,1486,54610,,,交友产品,产品汪,深圳,male,,"

欢迎各位朋友们添加微信交流 36455129   ：-）

"
ObjectId(57cc161d5b5ef00bd215bbae),Zack西西爸,49323,15394,235,20150,,,,,上海,male,,"

如需转载我的回答。请遵守以下规则："
ObjectId(57cc161f5b5ef00bd215bbaf),井鲤,8936,2204,199,5635,,建筑学,,,,male,,"

欢迎关注专栏：）                    "
ObjectId(57cc16225b5ef00bd215bbb0),蒋梦琪,15975,3690,127,16094,,建筑学,,,北京,female,,"

我没有授权任何人转载我的回答噢～所以任何人对我回答的转载都是侵权行为，各位朋友如果发现了可以私信我，谢谢~//总觉得自己的思维不太正常//私信问我问题的朋友太多了，真的没办法逐个回复，我只能挑关注我并且赞过我的朋友进行回复了，请见谅～

"
ObjectId(57cc16245b5ef00bd215bbb1),孟德,15458,3251,97,6818,沙坡村皇家职业技术学院,泥瓦工,北京凯乐世纪建筑技术有限公司,主创建筑师,北京,female,,"

每天都感觉自己萌萌哒||我跟风开通了值乎，欢迎来问："
ObjectId(57cc16265b5ef00bd215bbb2),t song,3240,792,366,1258,,建筑,,,北京,male,,"

SketchUpBAR版主一枚...

"
ObjectId(57cc16285b5ef00bd215bbb3),司空白,6318,862,1,8513,哈佛大学 (Harvard University),建筑学,,,波士顿,male,,"

M.Arch. LEED AP BD+C. 本人已委托维权骑士（"
ObjectId(57cc16295b5ef00bd215bbb4),ELcroquis建筑素描,18,0,12,80,,,,,,male,,"

《EL Croquis》是世界知名的建筑专业杂志，上世纪70年代创刊于西班牙，《EL Croquis中文版》由建筑创作杂志社出版，中英文双语，与原版同步发行

"
ObjectId(57cc162b5b5ef00bd215bbb5),游旭东,1038,320,347,154,,,ELcroquis建筑素描,新媒体主管,北京 西城区,male,,"

建筑媒体从业者"
ObjectId(57cc162d5b5ef00bd215bbb6),暴君很安静,9070,2273,5,2098,广东外语外贸大学,金融,,,深圳市,male,,"

科幻迷，武术迷，物理爱好者，金融爱好者。

"
ObjectId(57cc162f5b5ef00bd215bbb7),mumu1995,0,0,19,2,,,,,深圳市,male,,"

爱摄影 爱摄像 爱电影 王家卫 日系

"
ObjectId(57cc16325b5ef00bd215bbb8),日尧木同,8850,1946,330,7749,天津大学（TJU）,MIS,芍药居装逼部落,,北京,female,,"

雌雄同体，三观硬气，逐渐黑化中"
ObjectId(57cc16345b5ef00bd215bbb9),TuTu兔,24338,6215,410,6028,,,,,,female,,"

被维权小能手（"
ObjectId(57cc16365b5ef00bd215bbba),张晓晗,16139,4071,38,22507,上海戏剧学院,,,,上海,female,,"

九零后作家、编剧，著有《女王乔安》《少年博物馆》

"
ObjectId(57cc16385b5ef00bd215bbbb),一言,0,0,13,225,,,,,,female,,
ObjectId(57cc163a5b5ef00bd215bbbc),杨郭君,1,0,53,134,,,,,,male,,
ObjectId(57cc163d5b5ef00bd215bbbd),warfalcon,226598,98855,561,448367,,,,,沈阳,male,,"

个人Blog："
ObjectId(57cc163f5b5ef00bd215bbbe),Anthony Tchenhe,300,136,8,338,河海大学,人力资源管理,塵何服饰,产品经理,,male,,"

专注高端毛衣、针织衫、羊绒衫，专注私人定制20年，全国范围批发

"
ObjectId(57cc16425b5ef00bd215bbbf),FenFen,9,12,17,190,,,,,浙江,female,,
ObjectId(57cc16445b5ef00bd215bbc0),朱继玉,8377,3176,313,34123,中国科学技术大学,计算机,北京双髻鲨科技有限公司,机器视觉算法工程师,北京,male,,"

受戒的技术宅

"
ObjectId(57cc16465b5ef00bd215bbc1),王安迪,2,1,8,7,中科院,计算机,北京,,北京,male,,"

IT图像计算机视觉机器学习相关/对智能硬件创业感兴趣

"
ObjectId(57cc16485b5ef00bd215bbc2),Kevin Zhong,749,358,81,635,,,博世,,德国,male,,
ObjectId(57cc164a5b5ef00bd215bbc3),邹欣,2379,377,45,10480,,,,,,male,,
ObjectId(57cc164d5b5ef00bd215bbc4),pilot,8607,1758,184,1683,哈尔滨工业大学,,,,北京,male,,
ObjectId(57cc164f5b5ef00bd215bbc5),郝培强,14670,2762,173,66219,,,,,上海,male,,
ObjectId(57cc16515b5ef00bd215bbc6),传说中的ttdz,315,54,15,827,,,银河漫游指南,CEO,,male,,
ObjectId(57cc16535b5ef00bd215bbc7),萧西之水zhenduo,6975,1771,43,2535,,,,,北京,male,,"

日本历史写手，代表作《谁说日本没有战国》、《第〇次世界大战》。微信公众号xiaoxizhishui，求关注～

"
ObjectId(57cc16555b5ef00bd215bbc8),Hakumo,2008,804,250,4207,复旦大学,历史系,名古屋大学,文学研究科,名古屋,male,,"

我々は行為によって物を見、物が我を限定する共に我が物を限定する。それが行為的直観である。

"
ObjectId(57cc16585b5ef00bd215bbc9),Tim Hoven,1347,248,729,85,吉林大学,南岭,,自动化专业,帝都,male,,"

死に様は、生き方を映す鏡だ

"
ObjectId(57cc16595b5ef00bd215bbca),二律背反,37612,8741,0,7055,,,,,卢森堡,male,,"

计算机 + 时政 + 哲学

"
ObjectId(57cc165c5b5ef00bd215bbcb),于吱吱,18,3,17,36,中央美术学院,雕塑,,,北京,female,,"

不要再怕炎炎骄阳，也不要畏惧寒冬的肆虐。

"
ObjectId(57cc165e5b5ef00bd215bbcc),邱晨,0,0,18,20,,,,,北京,male,,
ObjectId(57cc16615b5ef00bd215bbcd),成远,6397,2158,5566,164098,天津财经大学,保险,知乎,,北京,male,,"

给新世界讲故事的人。

"
ObjectId(57cc16635b5ef00bd215bbce),雕龙,1931,546,12,531,,,央视,纪录片编导,,male,,"

累b拍电视，烦p做后期，AE合成苦，fcp剪辑难。唯有摩托乐，啸聚三千里；又知潜水深，趴板最惬意。山岚穿空谷，马口煎小炉，若不玩海钓，安知kayak。这tmd不押韵啊。。。。。

"
ObjectId(57cc16655b5ef00bd215bbcf),王怡蕊,13158,5661,101,243259,昆士兰大学,临床心理学,上海纽约大学 (NYU Shanghai),临床心理学家,上海,female,,"

澳大利亚一级荣誉学士、心理学博士。 澳洲注册临床心理学家（Licensed Clinical Psychologist）、美国心理学协会（APA）及澳洲心理学协会（APS）正式会员（full member）。职业经历包括国立大学、州立医院、私立诊所、跨国型NGO；目前在纽约大学上海分校任职。

"
ObjectId(57cc16685b5ef00bd215bbd0),Fan Francis,181259,34831,195,53523,南京大学,物理学,,美国财富管理/移民/资产配置/CPA,华盛顿D.C.,male,,"

吃货...E/INTP...正太早已过，大叔尚未成...185cm，80kg...坚信世上绝大多数问题，都是无所谓是非的个人喜好问题，于是厌恶价值判断，热爱多样性的美好...经历即动机，即目的，即过程，即结果...得之我幸，失之淡定...答文下不一定回复，故如需探讨或撩骚，欢迎私信..............人生理想：买下东京都新宿区新宿1丁目19番10号......所有答文，著明出处和作者，且并非商业推广用途，可随意转载并进行不改变文义的编辑，无需告知。若是商业推广用途，原则上需支付稿费，且需告知并获得授权。

"
ObjectId(57cc166a5b5ef00bd215bbd1),Suji Yan,24482,4219,1284,21709,伊利诺伊大学厄本那香槟分校 (UIUC),计算机工程（CE）,日本 Suji Tech,CEO,芝加哥,male,,"

日本 Suji Tech 社长、CEO | ins:jktedko 头像本人；私事微博，转载请私信；

"
ObjectId(57cc166d5b5ef00bd215bbd2),曲玮玮,116816,30458,641,61388,复旦大学,,微信公众号,曲玮玮（qvweiwei1111）,上海,female,,"

被误读是表达者的宿命。

"
ObjectId(57cc166e5b5ef00bd215bbd3),Modish饼,48138,27831,3,56661,,,,,,female,,"

抱歉，我不是专业答题。因为有太多人盗内容所以不得不把我微信的内容用来答题。"
ObjectId(57cc16715b5ef00bd215bbd4),张君,1933,27,13,851,,,talang100.com,创始人,北京,male,,"

一个学完能用在工作中的互联网营销教学网站，"
ObjectId(57cc16735b5ef00bd215bbd5),张文博,1,0,135,72,武汉理工大学,,,,北京,male,,"

无可救药的果粉。

"
ObjectId(57cc16755b5ef00bd215bbd6),果子,5668,461,101,1279,,,36氪,NEXT 打杂,北京,male,,
ObjectId(57cc16785b5ef00bd215bbd7),冬笋,2412,613,240,1892,同济大学,工业设计,优酷,产品经理,北京,female,,"

慧生于觉，觉生于自在

"
ObjectId(57cc167a5b5ef00bd215bbd8),职业作手,2574,560,152,1990,浙江大学,金融专业,,,上海,male,,"

私募基金

"
ObjectId(57cc167c5b5ef00bd215bbd9),司马暗,1378,292,694,2051,,,,,,male,,"

不问苍生问鬼神

"
ObjectId(57cc167f5b5ef00bd215bbda),隆晓斐,9854,2067,120,10419,北京大学,政治哲学,北京大学,注册忽悠师,北京,male,,"

因善于讨论不宜公开讨论的政治内容，经常被删。希望被邀请回答风月类问题而不得。鉴于知乎上最近低智商人群越来越多，所以对于没有看懂答案就评论，我一般是不理或删除，心情不好会骂人。只解答粉丝问题，智商太低还爱扯淡的直接拉黑。

"
ObjectId(57cc16815b5ef00bd215bbdb),陈毓秀,21663,6029,108,39685,克莱登大学,青年民族发明学,吴越国流亡政府,吴越复国主义者,,female,,"

若你觉得咱俩中间有一人不够理性客观，为了节省时间，那就是我了。

"
ObjectId(57cc16835b5ef00bd215bbdc),哪吒,4158,857,85,511,,,,,哈尔滨,female,,"

“？”……“！”

"
ObjectId(57cc16855b5ef00bd215bbdd),鲍声丑,4721,881,18,4729,,,,,北京 朝阳,female,,"

铲屎官，摄影师，冒险，麻豆。

"
ObjectId(57cc16915b5ef00bd215bbde),段酱,7,3,25,22,北京邮电大学,软件工程,承影互联,首席干活官,北京,male,,"

热爱摄影的程序猿

"
ObjectId(57cc16935b5ef00bd215bbdf),乔2仁,853,154,203,133,华南理工大学（SCUT）,网络工程,Plus,首席点菜,北京,male,,
ObjectId(57cc16965b5ef00bd215bbe0),刘昕,1,1,28,17,厦门大学,汉语国际教育,美图秀秀,产品经理,厦门,female,,
ObjectId(57cc16985b5ef00bd215bbe1),顾一欢,2,1,25,30,,,,,北京,male,,
ObjectId(57cc169a5b5ef00bd215bbe2),康凯,142,23,830,106,浙江大学,,,,杭州,male,,
ObjectId(57cc169d5b5ef00bd215bbe3),Yike,5395,1516,45,4841,UESTC,,,Design Manager,成都,male,,"

严以律己，宽以待人

"
ObjectId(57cc169e5b5ef00bd215bbe4),Ex咖喱棒,0,0,1,3,,,,,成都,male,,
ObjectId(57cc16a15b5ef00bd215bbe5),疯狂的蔬菜,8784,2920,354,2844,华南农业大学,电子信息科学与技术,,,广东,male,,"

不懂什么东西，真的。

"
ObjectId(57cc16a45b5ef00bd215bbe6),王尔东,27738,6121,79,16599,北京大学,核技术,布鲁克海文国家实验室,Assistant Scientist,纽约长岛,male,,"

核技术，高能加速器，电子源，激光，以及东方神秘学。我的专栏： "
ObjectId(57cc16a65b5ef00bd215bbe7),陈老巨,0,0,46,34,,,,,北京大学,male,,
ObjectId(57cc16a85b5ef00bd215bbe8),何水穷,4798,1784,51,1888,北京大学,哲学,,,,female,,"

哲学在读，还没入门。心思庞杂，诸多“略懂”

"
ObjectId(57cc16aa5b5ef00bd215bbe9),蝴蝶夢,2,0,1,2,,,,,,male,,
ObjectId(57cc16ad5b5ef00bd215bbea),Berlinnn,626,204,192,627,北京大学,哲学,北京大学哲学系,本科生,北京,female,,"

好好读书qwq

"
ObjectId(57cc16af5b5ef00bd215bbeb),小松肉奈,2336,296,120,326,北京大学,哲学系,,,北京大学,female,,
ObjectId(57cc16b15b5ef00bd215bbec),安嘉门院,48339,8340,78,111451,,,,,,female,,
ObjectId(57cc16b45b5ef00bd215bbed),曹吕虫,2209,340,204,205,克莱登大学,,,,比邻星,female,,"

不受教，不着调，不打架，不打岔，不说话，不知道。

"
ObjectId(57cc16b65b5ef00bd215bbee),韩今谅,6,5,22,900,,,,,,male,,
ObjectId(57cc16b85b5ef00bd215bbef),Vince,1231,209,71,275,对外经济贸易大学 (UIBE),,新浪微博,,加拿大,male,,
ObjectId(57cc16ba5b5ef00bd215bbf0),林高义,54,14,37,99,广东商学院,工商管理,多玩游戏网,游戏编辑,广州,male,,"

关注移动互联网、Apple 用家、曾经 #Xbox 支持者，已入 #PS4 主机，目前任职多玩游戏，负责虎牙 #Minecraft 视频专区。

"
ObjectId(57cc16bd5b5ef00bd215bbf1),Milo,2524,580,44,977,,,Newegg,Designer,洛杉矶,male,,"

Learn to enjoy your life.

"
ObjectId(57cc16bf5b5ef00bd215bbf2),张玉婷,38,17,169,652,北京理工大学（BIT）,交互设计,高德,首席设计师,北京,female,,
ObjectId(57cc16c25b5ef00bd215bbf3),刘念,294892,78419,531,259810,,,刘念约会教室,班长,武汉,male,,"

如需要我的恋爱指导，请加微信：2492527948"
ObjectId(57cc16c45b5ef00bd215bbf4),王劭禹,4819,1501,682,3518,同济大学,工业工程,伊莱克斯,精益变革代表,杭州,male,,"

公众号：劭禹精益研修室 "
ObjectId(57cc16c75b5ef00bd215bbf5),kingOne,15641,4424,20,4481,,,,,北京,male,,"

wechat no.：nixingdemeng

"
ObjectId(57cc16cb5b5ef00bd215bbf6),Jing,20751,5324,307,25423,University of Toronto,Pharmacy,,临床药剂师,,female,,
ObjectId(57cc16cd5b5ef00bd215bbf7),薬師丸,2501,753,53,1025,日本国立大学附属病院,薬剤部,,,南京,male,,"

Study in Japan；Intern in  WHO, Netherlands ； Already finished Residency.."
ObjectId(57cc16d05b5ef00bd215bbf8),羊小雪,40185,11234,85,24993,,,,,北京,female,,"

Me miran con tus ojos las estrellas más grandes."
ObjectId(57cc16d25b5ef00bd215bbf9),杨六院,4035,793,559,2461,Pluto Institute of Science and Technology,Alienology,Interstellar Community of Scilicon-Based Life (ICSBL),Executive Director,Pluto,male,,"

You know nothing before you know everything.

"
ObjectId(57cc16d45b5ef00bd215bbfa),李裕晨,197,64,38,232,复旦大学,哲学系,,,上海,male,,"

列國只為火而勤勞

"
ObjectId(57cc16d75b5ef00bd215bbfb),赵文博,91,18,389,78,北京理工大学（BIT）,材料成型与控制工程,,,,male,,
ObjectId(57cc16d95b5ef00bd215bbfc),陈睿,28608,5256,48,17647,,,bilibili,董事长,上海,male,,"

bilibili（哔哩哔哩）董事长

"
ObjectId(57cc16db5b5ef00bd215bbfd),Relax,8341,1177,134,312,浙江大学,数字媒体技术,,,杭州,female,,"

暂时离开，专心学习和绘画。"
ObjectId(57cc16dd5b5ef00bd215bbfe),Phil,94713,20262,10,90610,华东理工大学,高分子化工,,,上海,male,,"

上海出生成长，至今离沪时间加起来不超过1年；从小受党国教育，西方国家总共待过66天；工科毕业做销售转市场兼客服后搞制造业物流管理再转到娱乐圈从事戏剧剧院兼带中英互译；天文地理生物化学政治历史等百搭一族。

"
ObjectId(57cc16e05b5ef00bd215bbff),张汉森,1987,1236,50,20477,,,,,北京,male,,"

小蜜蜂 嗡嗡嗡

"
ObjectId(57cc16e15b5ef00bd215bc00),周鸿祎,0,0,3,90628,,,,,,male,,
ObjectId(57cc16e45b5ef00bd215bc01),马占凯,15863,2361,231,29349,银河系,人类文明体验计划,美团网,顾问,北京,male,,"

美团网产品顾问，搜狗输入法之父。曾任搜狐产品经理，360产品经理。

"
ObjectId(57cc16e65b5ef00bd215bc02),天天Sylvia,1430,622,43,518,,,互联网,运营,北京,female,,"

我在一年内读了128本书，约见了100位牛人学习。相信人的大脑、心智、身体、关系、生活都可以不断升级，而知识是最好的工具。关注个人成长，分享新知，在探索自我、追求自由的路上，与你同行。［微信公众号：买时间的人］

"
ObjectId(57cc16e85b5ef00bd215bc03),苍斯基,3181,745,687,3502,,,杭州 Aurora Cocktail Lounge,,杭州,male,,"

自身之事皆无悔。

"
ObjectId(57cc16ea5b5ef00bd215bc04),胡辛束,56,4,24,1809,,,,,北京,female,,"

微信公众账号：胡辛束 （huxinshu713）

"
ObjectId(57cc16ed5b5ef00bd215bc05),金鹏远,19037,4179,67,32228,,,socialab,cko,北京,male,,"

 有趣改变世界。社交网络传播的思考者和实践者。微信公众平台：socialab 

"
ObjectId(57cc16ef5b5ef00bd215bc06),林木木,71,55,50,100,,,,,江苏,male,,"

VX：yxjhfgzs

"
ObjectId(57cc16f15b5ef00bd215bc07),小马宋,5260,1086,12,7048,西安交通大学,热能,几件事文化有限公司,创始人,北京,male,,"

北京几件事文化有限公司创始人

"
ObjectId(57cc16f35b5ef00bd215bc08),彭萦,3038,248,8,5481,,,,,北京,female,,"

I am a dreamer, but I am a disciplined dreamer. "
ObjectId(57cc16f55b5ef00bd215bc09),李伯伯,58,25,250,187,SUNY Stony Brook,统计,SOHO 3Q,Product Head,北京,male,,"

互联网产品、装饰画、T恤、社交、设计、生活方式…"
ObjectId(57cc16f75b5ef00bd215bc0a),skyxqc,234,10,228,318,,,,PM,,male,,
ObjectId(57cc16fa5b5ef00bd215bc0b),王俊煜,7544,598,214,145661,北京大学,,豌豆实验室,联合创始人,北京,male,,
ObjectId(57cc16fc5b5ef00bd215bc0c),摇滚死兔子,18907,4522,663,6630,北京服装学院,服装工程,Dreamcatcher,联合创始人,北京,male,,"

ಠﭛಠ 收听我们♪♬♫ 「微信添加公众号 dreamcatcher_0」

"
ObjectId(57cc16fe5b5ef00bd215bc0d),余茶叶,10649,1813,141,1525,利兹大学,国际营销管理,霍格沃茨,变形术/魔药学,利兹,male,,"

微软创新杯2014西雅图全球总决赛中国区学生记者，线下社交组织地平线Horizon联合创始人。托尔金迷。腐国读研，关注LGBT平权运动，偶尔秀恩爱。"
ObjectId(57cc17015b5ef00bd215bc0e),圣狗子,59304,12614,322,30095,,,,,巴黎（Paris）,male,,"

微信搜索“圣狗子”"
ObjectId(57cc17035b5ef00bd215bc0f),Cissy Chen,11436,2720,268,4109,,,"Midnight Studios, Inc.",Game Engineer,Austin，TX,female,,
ObjectId(57cc17055b5ef00bd215bc10),wayne,0,0,1,1,,,,,,male,,
